Timestamp,Alpha,Beta,Gamma,Alpha_Rel,Beta_Rel,Gamma_Rel,Marker
2025-11-06T17:47:11,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:12,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:13,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:14,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:15,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:16,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:17,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:18,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:19,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:20,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:21,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:22,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:23,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:24,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:25,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:26,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:27,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:28,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:29,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:30,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:31,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:32,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:33,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:34,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:35,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:36,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:37,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:38,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:39,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:40,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:41,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:42,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:43,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:44,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:45,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:46,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:47,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:48,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:49,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:50,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:51,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:52,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:53,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:54,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:55,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:56,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:57,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:58,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:47:59,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:00,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:01,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:02,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:03,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:04,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:05,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:06,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:07,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:08,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:09,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:10,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:11,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:12,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:13,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:14,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:15,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:16,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:17,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:18,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:19,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:20,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:21,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:22,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:23,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:24,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:25,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:26,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:27,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:28,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:29,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:30,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:31,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:32,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:33,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:34,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:36,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:37,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:38,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:39,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:40,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:41,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:42,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:43,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:44,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:45,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:46,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:47,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:48,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:49,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:50,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:51,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:52,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:53,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:54,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:55,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:56,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:57,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:58,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:48:59,0.000,0.000,0.000,0.554,0.236,0.210,
2025-11-06T17:49:00,0.050,0.016,0.004,0.710,0.232,0.058,
2025-11-06T17:49:01,0.180,0.165,0.192,0.336,0.308,0.357,
2025-11-06T17:49:02,0.102,0.363,0.112,0.177,0.630,0.194,
2025-11-06T17:49:03,0.226,0.218,0.148,0.381,0.368,0.251,
2025-11-06T17:49:04,0.078,0.319,0.128,0.148,0.608,0.245,
2025-11-06T17:49:05,0.122,0.285,0.131,0.227,0.530,0.243,
2025-11-06T17:49:06,0.070,0.333,0.167,0.123,0.584,0.293,
2025-11-06T17:49:07,0.047,0.284,0.201,0.089,0.534,0.378,
2025-11-06T17:49:08,0.076,0.242,0.143,0.166,0.524,0.311,
2025-11-06T17:49:09,0.081,0.324,0.163,0.143,0.570,0.287,
2025-11-06T17:49:10,0.085,0.326,0.101,0.167,0.636,0.197,
2025-11-06T17:49:11,0.206,0.292,0.175,0.306,0.434,0.260,
2025-11-06T17:49:12,0.081,0.316,0.155,0.147,0.572,0.281,
2025-11-06T17:49:13,0.063,0.223,0.113,0.157,0.560,0.283,
2025-11-06T17:49:14,0.067,0.262,0.176,0.132,0.519,0.349,
2025-11-06T17:49:15,0.075,0.288,0.167,0.141,0.543,0.315,
2025-11-06T17:49:16,0.177,0.264,0.117,0.317,0.473,0.210,
2025-11-06T17:49:17,0.185,0.142,0.239,0.327,0.251,0.422,
2025-11-06T17:49:18,0.155,0.245,0.103,0.309,0.487,0.204,
2025-11-06T17:49:19,0.117,0.167,0.156,0.266,0.380,0.354,
2025-11-06T17:49:20,0.114,0.239,0.190,0.210,0.440,0.350,
2025-11-06T17:49:21,0.140,0.312,0.115,0.247,0.551,0.202,
2025-11-06T17:49:22,0.078,0.353,0.137,0.138,0.621,0.242,
2025-11-06T17:49:23,0.231,0.184,0.097,0.451,0.360,0.189,
2025-11-06T17:49:24,0.134,0.185,0.136,0.294,0.408,0.299,
2025-11-06T17:49:25,0.079,0.233,0.140,0.175,0.515,0.311,
2025-11-06T17:49:26,0.119,0.201,0.156,0.250,0.423,0.327,
2025-11-06T17:49:27,0.149,0.442,0.129,0.207,0.614,0.179,
2025-11-06T17:49:28,0.166,0.328,0.137,0.263,0.520,0.217,
2025-11-06T17:49:29,0.090,0.151,0.152,0.229,0.384,0.388,
2025-11-06T17:49:30,0.149,0.141,0.123,0.361,0.342,0.297,
2025-11-06T17:49:31,0.210,0.281,0.214,0.298,0.399,0.303,
2025-11-06T17:49:32,0.059,0.190,0.136,0.154,0.493,0.353,
2025-11-06T17:49:33,0.239,0.216,0.106,0.426,0.385,0.189,
2025-11-06T17:49:34,0.073,0.228,0.116,0.176,0.546,0.278,
2025-11-06T17:49:35,0.039,0.206,0.096,0.115,0.604,0.281,
2025-11-06T17:49:36,0.179,0.268,0.096,0.330,0.493,0.177,
